┌───────────────┬──────────────┬──────────────────┬───────────────┬───────────────┬─────────────┬───────────────┬───────────────┐
│ image_context ┆ record_type  ┆ image_size_bytes ┆ begin_time_ms ┆ end_time_ms   ┆ duration_ms ┆ sleep_time_ms ┆ queue_time_ms │
│ ---           ┆ ---          ┆ ---              ┆ ---           ┆ ---           ┆ ---         ┆ ---           ┆ ---           │
│ i32           ┆ str          ┆ i32              ┆ f64           ┆ f64           ┆ f64         ┆ f64           ┆ f64           │
╞═══════════════╪══════════════╪══════════════════╪═══════════════╪═══════════════╪═════════════╪═══════════════╪═══════════════╡
│ 21            ┆ IMAGE        ┆ 42090            ┆ 2332.652059   ┆ 2352.398413   ┆ 19.746354   ┆ null          ┆ null          │
│ 21            ┆ SHM_COPY     ┆ 42090            ┆ 2332.655746   ┆ 2332.685843   ┆ 0.030097    ┆ null          ┆ null          │
│ 21            ┆ ENQUEUE_MSG  ┆ 42090            ┆ 2332.693267   ┆ 2332.71616    ┆ 0.022893    ┆ null          ┆ null          │
│ 21            ┆ TX_RX        ┆ 14882            ┆ 2334.816073   ┆ 2334.818478   ┆ 0.002405    ┆ null          ┆ null          │
│ 21            ┆ TX_RX        ┆ 17356            ┆ 2343.708734   ┆ 2343.722851   ┆ 0.014117    ┆ null          ┆ null          │
│ 21            ┆ TX_RX        ┆ 9852             ┆ 2352.386671   ┆ 2352.39663    ┆ 0.009959    ┆ null          ┆ null          │
│ 21            ┆ INTERMEDIATE ┆ 14882            ┆ 2334.802758   ┆ 2334.818878   ┆ 0.01612     ┆ null          ┆ 2.086598      │
│ 21            ┆ INTERMEDIATE ┆ 17356            ┆ 2343.692504   ┆ 2343.723392   ┆ 0.030888    ┆ 8.873626      ┆ null          │
│ 21            ┆ INTERMEDIATE ┆ 9852             ┆ 2352.369719   ┆ 2352.397542   ┆ 0.027823    ┆ 8.646327      ┆ null          │
│ 50            ┆ IMAGE        ┆ 59080            ┆ 7361.616342   ┆ 7382.467947   ┆ 20.851605   ┆ null          ┆ null          │
│ 50            ┆ SHM_COPY     ┆ 59080            ┆ 7361.619678   ┆ 7361.650466   ┆ 0.030788    ┆ null          ┆ null          │
│ 50            ┆ ENQUEUE_MSG  ┆ 59080            ┆ 7361.667518   ┆ 7361.686875   ┆ 0.019357    ┆ null          ┆ null          │
│ 50            ┆ TX_RX        ┆ 22469            ┆ 7366.514853   ┆ 7366.519743   ┆ 0.00489     ┆ null          ┆ null          │
│ 50            ┆ TX_RX        ┆ 20238            ┆ 7373.707464   ┆ 7373.721631   ┆ 0.014167    ┆ null          ┆ null          │
│ 50            ┆ TX_RX        ┆ 16373            ┆ 7382.462547   ┆ 7382.467496   ┆ 0.004949    ┆ null          ┆ null          │
│ 50            ┆ INTERMEDIATE ┆ 22469            ┆ 7366.500587   ┆ 7366.520163   ┆ 0.019576    ┆ null          ┆ 4.813712      │
│ 50            ┆ INTERMEDIATE ┆ 20238            ┆ 7373.670164   ┆ 7373.722192   ┆ 0.052028    ┆ 7.150001      ┆ null          │
│ 50            ┆ INTERMEDIATE ┆ 16373            ┆ 7382.454762   ┆ 7382.467817   ┆ 0.013055    ┆ 8.73257       ┆ null          │
│ 100           ┆ IMAGE        ┆ 41858            ┆ 25605.866843  ┆ 25610.383657  ┆ 4.516814    ┆ null          ┆ null          │
│ 100           ┆ SHM_COPY     ┆ 41858            ┆ 25605.867485  ┆ 25605.897531  ┆ 0.030046    ┆ null          ┆ null          │
│ 100           ┆ ENQUEUE_MSG  ┆ 41858            ┆ 25605.918441  ┆ 25605.929742  ┆ 0.011301    ┆ null          ┆ null          │
│ 100           ┆ TX_RX        ┆ 41858            ┆ 25610.293617  ┆ 25610.382815  ┆ 0.089198    ┆ null          ┆ null          │
│ 100           ┆ INTERMEDIATE ┆ 41858            ┆ 25610.221131  ┆ 25610.383246  ┆ 0.162115    ┆ null          ┆ 4.291389      │
│ 250           ┆ IMAGE        ┆ 343703           ┆ 55769.22259   ┆ 55780.48878   ┆ 11.26619    ┆ null          ┆ null          │
│ 250           ┆ SHM_COPY     ┆ 343703           ┆ 55769.22293   ┆ 55769.290999  ┆ 0.068069    ┆ null          ┆ null          │
│ 250           ┆ ENQUEUE_MSG  ┆ 343703           ┆ 55769.299855  ┆ 55769.321636  ┆ 0.021781    ┆ null          ┆ null          │
│ 250           ┆ TX_RX        ┆ 203051           ┆ 55772.487797  ┆ 55772.534715  ┆ 0.046918    ┆ null          ┆ null          │
│ 250           ┆ TX_RX        ┆ 140652           ┆ 55780.461068  ┆ 55780.487868  ┆ 0.0268      ┆ null          ┆ null          │
│ 250           ┆ INTERMEDIATE ┆ 203051           ┆ 55772.448764  ┆ 55772.535397  ┆ 0.086633    ┆ null          ┆ 3.127128      │
│ 250           ┆ INTERMEDIATE ┆ 140652           ┆ 55780.418778  ┆ 55780.488389  ┆ 0.069611    ┆ 7.883381      ┆ null          │
│ 450           ┆ IMAGE        ┆ 231858           ┆ 104856.74815  ┆ 104865.981954 ┆ 9.233804    ┆ null          ┆ null          │
│ 450           ┆ SHM_COPY     ┆ 231858           ┆ 104856.748771 ┆ 104856.776654 ┆ 0.027883    ┆ null          ┆ null          │
│ 450           ┆ ENQUEUE_MSG  ┆ 231858           ┆ 104856.784859 ┆ 104856.809946 ┆ 0.025087    ┆ null          ┆ null          │
│ 450           ┆ TX_RX        ┆ 168756           ┆ 104857.939673 ┆ 104857.970481 ┆ 0.030808    ┆ null          ┆ null          │
│ 450           ┆ TX_RX        ┆ 63102            ┆ 104865.958791 ┆ 104865.981073 ┆ 0.022282    ┆ null          ┆ null          │
│ 450           ┆ INTERMEDIATE ┆ 168756           ┆ 104857.920807 ┆ 104857.970681 ┆ 0.049874    ┆ null          ┆ 1.110861      │
│ 450           ┆ INTERMEDIATE ┆ 63102            ┆ 104865.934846 ┆ 104865.981523 ┆ 0.046677    ┆ 7.964165      ┆ null          │
└───────────────┴──────────────┴──────────────────┴───────────────┴───────────────┴─────────────┴───────────────┴───────────────┘
